,title,class,content
0,google meet 網址,Python程式設計實務,https://meet.google.com/gkv-xffs-fcg
1,期末考檢討時間於1月11日12:40-13:30,統計學,期末考檢討時間於1月11日12:40-13:30，若前述時間未到，視同期末考0分。
2,有些同學檔案名稱學號有誤，有些人無檔案分組，有錯誤請儘速告知,資料庫系統概論,"有錯誤的請寄系上信箱告知我你的分組  ryanchen@lins.fju.edu.tw
歷史四乙 406022147 黃鼎暠 3
宗教四 406480296 陳文玲 3
宗教四 406480325 蕭晴 3
406021164 ??? 3
406021164是誰?
圖資三 407040380 胡丞漢 9
圖資三 407040469 李振寧 9
圖資三 407040603 吳東璋 9
407040525 ??? 9
407040525 是誰?
圖資四 405040453 黃明新
歷史四甲 406021583 蘇聖勛
圖資四 406040151 林俊良
圖資四 406040278 包揚家
圖資四 406040711 李鎔竹
圖資三 407040562 古晉睿
609100006 蕭玉雍
不知組別，個人組嗎?
也沒交檔案?何因?????"
3,謝謝你為本課程作教學評量,人生哲學,今日收到輔大Email，希望大家為本課程作教學評量，麻煩各位美女帥哥囉，謝謝你！
4,Happy Ending,人生哲學,"親愛的美女帥哥們：
本週三將為我們這學期的人生哲學課程進行Happy Ending
請大家儘量抽空到ES605參與課堂！
另外，如有同學還希望有機會完成""想得正確活得開心""分享活動
本週三將提供這些同學最後的機會去完成分享哦！
玉華老師"
5,解剖期末時間地點,解剖學實驗,"護理一甲班解剖期末考
正課: 1/14 (四) 12:30~13:30 (MD213)
實驗: 1/12 (二) 12:30~13:30 (MD213)"
6,解剖期末時間地點,解剖學,"護理一甲班解剖期末考
正課: 1/14 (四) 12:30~13:30 (MD213)
實驗: 1/12 (二) 12:30~13:30 (MD213)"
7,期末考試與檢討時段及注意事項,統計學,"期末考試日在2021年1月4日（一）13:40-15:30，期末考檢討時段在2021年1月11日（一）12:40-13:30，前述時段若未到，視同期末考0分。
期末考試範圍：第8章、第9章、第10章
期末考需自行攜帶計算機，不可使用手機中的計算機。可手抄寫統計相關公式於A4大小紙張入場考試。
期末考當日收回習題計算本 （第8、9章為主，第10章加分）批閱，為平時成績之一次成績，當日若未繳交，該項成績以0分計算。
學期補救作業註記：凡學期成績不及格但50分以上者(未缺交任一次平時作業者，以及無任何成績0分者，期末考卷檢討後，同學可在TronClass查閱暫存的學期成績），可任選指定書籍之一，撰寫讀書心得報告（1000字），在期限內上傳報告至""補救作業區""，則可補救至60分，但逾期未收到此作業則以原成績登錄。"
8,12/29 和 1/5 的上課地點在ES702,解剖學,"各位同學
12/29(二) 和 1/5(二) 的解剖學實驗改上正課
上課地點在ES702"
9,12/29 和 1/5 的上課地點在ES702,解剖學實驗,"各位同學
12/29(二) 和 1/5(二) 的解剖學實驗改上正課
上課地點在ES702"
